0, 0
1, 2
2, 14
3, 50
4, 117
5, 225
6, 383
7, 652
8, 911
9, 1452
10, 1962
11, 2396
12, 3205
13, 4032
14, 5061
15, 6066
16, 7387
17, 8699
18, 10293
19, 11822
20, 14146
21, 16423
22, 18619
23, 21392
24, 24139
25, 27806
26, 31483
27, 34602
28, 38644
29, 42630
30, 47588
